Date,Close,Cash,Qty,AvgPrice,TotalVal,Buys,Sells,Regime
2022-01-03,71.6,10000.0,0,0.0,10000.0,0,0,Stable
2022-01-04,71.27,10000.0,0,0.0,10000.0,0,0,Stable
2022-01-05,64.0,9061.07,14,66.9,9957.14,14,0,Stable
2022-01-06,65.33,9962.23,0,0.0,9962.23,0,14,Stable
2022-01-07,59.59,8528.49,24,59.59,9958.65,24,0,StrongDown
2022-01-10,60.08,8281.93,30,56.02,10084.33,30,24,Stable
2022-01-11,63.27,9923.24,2,59.29,10049.78,2,30,Stable
2022-01-12,64.45,10053.11,0,0.0,10053.11,0,2,Stable
2022-01-13,60.03,10053.11,0,0.0,10053.11,0,0,Stable
2022-01-14,64.0,9347.35,11,64.0,10051.35,11,0,StrongUp
2022-01-18,55.6,7272.15,47,59.02,9885.58,36,0,Stable
2022-01-19,50.77,9959.93,0,0.0,9959.93,0,47,Stable
2022-01-20,45.98,9630.17,7,46.99,9952.03,7,0,Stable
2022-01-21,43.71,9061.86,20,44.49,9936.06,20,7,Stable
2022-01-24,45.4,8487.77,32,45.4,9940.41,32,20,StrongDown
2022-01-25,40.19,6271.04,86,42.6,9727.38,54,0,Stable
2022-01-26,42.25,10027.57,0,0.0,10027.57,0,86,Stable
2022-01-27,36.31,7382.04,70,37.7,9924.09,70,0,Stable
2022-01-28,38.38,8491.45,38,38.38,9949.7,38,70,StrongDown
2022-01-31,44.69,9983.39,0,0.0,9983.39,0,38,Stable
2022-02-01,45.93,8509.96,32,45.93,9979.72,32,0,StrongDown
2022-02-02,49.36,10056.48,0,0.0,10056.48,0,32,Stable
2022-02-03,42.48,8280.11,40,44.3,9979.31,40,0,Stable
2022-02-04,43.46,8893.17,26,41.92,10023.13,26,40,Stable
2022-02-07,43.26,10026.01,0,0.0,10026.01,0,26,Stable
2022-02-08,46.63,10026.01,0,0.0,10026.01,0,0,Stable
2022-02-09,51.06,10026.01,0,0.0,10026.01,0,0,Stable
2022-02-10,46.41,8537.34,32,46.41,10022.3,32,0,StrongUp
2022-02-11,39.43,9319.05,18,39.43,10028.79,18,32,StrongDown
2022-02-14,39.49,10033.29,0,0.0,10033.29,0,18,Stable
2022-02-15,45.98,10033.29,0,0.0,10033.29,0,0,StrongUp
2022-02-16,46.11,7806.05,50,44.43,10111.55,50,0,Stable
2022-02-17,40.81,6333.22,86,42.92,9842.88,36,0,StrongDown
2022-02-18,39.51,8440.33,36,39.51,9862.69,36,86,StrongDown
2022-02-22,38.61,8569.05,34,38.46,9881.79,34,36,Stable
2022-02-23,35.91,9932.77,0,0.0,9932.77,0,34,Stable
2022-02-24,39.75,8498.19,36,39.75,9929.19,36,0,StrongUp
2022-02-25,41.55,9863.12,2,39.59,9946.21,2,36,Stable
2022-02-28,40.98,8020.41,48,39.96,9987.45,48,2,Stable
2022-03-01,36.36,7230.43,74,36.76,9921.07,74,48,Stable
2022-03-02,40.22,10022.85,0,0.0,10022.85,0,74,Stable
2022-03-03,37.41,8040.62,52,38.02,9985.94,52,0,Stable
2022-03-04,34.69,3590.02,180,35.65,9833.32,128,0,Stable
2022-03-07,29.5,8477.68,50,29.5,9952.93,50,180,StrongDown
2022-03-08,31.14,8463.01,48,31.14,9957.73,48,50,StrongDown
2022-03-09,34.99,10098.11,0,0.0,10098.11,0,48,Stable
2022-03-10,32.7,8655.49,44,32.7,10094.51,44,0,StrongDown
2022-03-11,30.68,9416.17,24,30.68,10152.49,24,44,StrongDown
2022-03-14,27.8,4298.29,206,28.36,10025.09,182,0,Stable
2022-03-15,31.46,10126.42,0,0.0,10126.42,0,206,StrongUp
2022-03-16,36.35,10126.42,0,0.0,10126.42,0,0,Stable
2022-03-17,36.98,9479.44,18,35.85,10144.99,18,0,Stable
2022-03-18,39.14,10131.03,0,0.0,10131.03,0,18,Stable
2022-03-21,38.8,8136.07,52,38.27,10153.67,52,0,Stable
2022-03-22,39.56,10152.26,0,0.0,10152.26,0,52,Stable
2022-03-23,36.69,8681.19,40,36.69,10148.59,40,0,StrongUp
2022-03-24,42.08,10190.21,0,0.0,10190.21,0,40,Stable
2022-03-25,41.88,8291.07,46,41.18,10217.55,46,0,Stable
2022-03-28,42.67,9237.44,24,40.48,10261.64,24,46,Stable
2022-03-29,45.65,10313.78,0,0.0,10313.78,0,24,Stable
2022-03-30,41.3,8185.63,50,42.46,10250.88,50,0,Stable
2022-03-31,38.47,7472.24,70,39.8,10165.14,70,50,Stable
2022-04-01,36.08,8762.92,40,36.08,10206.12,40,70,StrongDown
2022-04-04,38.01,10230.84,0,0.0,10230.84,0,40,Stable
2022-04-05,32.77,4920.07,160,33.11,10163.27,160,0,Stable
2022-04-06,30.45,3455.06,208,32.49,9787.62,48,0,StrongDown
2022-04-07,30.46,7702.2,72,29.41,9895.32,72,208,Stable
2022-04-08,28.18,5476.57,152,28.64,9759.93,152,72,Stable
2022-04-11,26.45,643.17,332,27.63,9426.23,180,0,Stable
2022-04-12,26.21,9949.04,0,0.0,9949.04,0,332,StrongDown
2022-04-13,28.04,9949.04,0,0.0,9949.04,0,0,Stable
2022-04-14,25.57,6211.81,142,26.25,9842.75,142,0,Stable
2022-04-18,26.92,9898.12,0,0.0,9898.12,0,142,Stable
2022-04-19,28.79,9176.57,25,28.79,9896.32,25,0,StrongUp
2022-04-20,28.44,9935.67,0,0.0,9935.67,0,25,StrongDown
2022-04-21,26.2,9935.67,0,0.0,9935.67,0,0,Stable
2022-04-22,24.41,4673.21,210,25.0,9798.26,210,0,Stable
2022-04-25,25.76,8345.24,58,25.76,9839.32,58,210,StrongUp
2022-04-26,22.36,6865.46,124,23.95,9638.72,66,0,StrongDown
2022-04-27,21.96,7764.09,86,22.02,9652.65,86,124,Stable
2022-04-28,25.53,9792.91,0,0.0,9792.91,0,86,Stable
2022-04-29,22.11,3654.2,262,23.37,9448.33,262,0,Stable
2022-05-02,24.47,9586.73,0,0.0,9586.73,0,262,Stable
2022-05-03,25.1,9586.73,0,0.0,9586.73,0,0,Stable
2022-05-04,28.06,8123.96,52,28.06,9583.08,52,0,StrongDown
2022-05-05,23.91,3042.68,264,24.73,9353.6,212,0,Stable
2022-05-06,23.31,5767.87,156,23.31,9404.23,156,264,Stable
2022-05-09,19.63,4272.26,232,22.11,8826.42,76,0,StrongDown
2022-05-10,21.11,9268.78,0,0.0,9268.78,0,232,StrongDown
2022-05-11,19.09,5579.63,186,19.78,9129.44,186,0,Stable
2022-05-12,19.44,7664.48,76,19.44,9141.92,76,186,StrongUp
2022-05-13,22.48,9221.61,0,0.0,9221.61,0,76,StrongUp
2022-05-16,21.36,4056.31,236,21.83,9098.45,236,0,Stable
2022-05-17,24.61,9550.78,0,0.0,9550.78,0,236,Stable
2022-05-18,20.76,3923.74,260,21.59,9321.34,260,0,Stable
2022-05-19,20.46,7882.55,72,20.46,9356.03,72,260,StrongUp
2022-05-20,20.34,3505.41,314,18.79,9890.6,314,72,Stable
2022-05-23,20.62,7929.57,90,20.2,9785.82,90,314,Stable
2022-05-24,19.01,6443.08,168,19.65,9636.76,78,0,StrongDown
2022-05-25,20.2,8915.07,37,20.2,9662.28,37,168,StrongUp
2022-05-26,22.56,8935.3,33,22.56,9679.78,33,37,StrongUp
2022-05-27,25.24,9722.68,0,0.0,9722.68,0,33,StrongUp
2022-05-31,24.88,7277.39,98,24.89,9715.14,98,0,Stable
2022-06-01,23.68,8274.85,62,23.68,9743.01,62,98,StrongDown
2022-06-02,26.25,9042.87,28,26.25,9778.01,28,62,StrongUp
2022-06-03,23.88,7558.6,90,24.62,9707.8,62,0,StrongDown
2022-06-06,23.83,9846.07,0,0.0,9846.07,0,90,StrongDown
2022-06-07,24.58,8898.46,40,23.63,9881.66,40,0,Stable
2022-06-08,22.89,5529.19,188,22.95,9832.51,188,40,Stable
2022-06-09,21.05,7931.87,87,22.2,9763.22,87,188,Stable
2022-06-10,18.75,6465.33,165,20.57,9559.9,78,0,StrongDown
2022-06-13,15.49,4974.09,261,18.7,9018.28,96,0,StrongDown
2022-06-14,15.76,9133.18,0,0.0,9133.18,0,261,Stable
2022-06-15,16.62,9133.18,0,0.0,9133.18,0,0,Stable
2022-06-16,13.5,7644.47,110,13.5,9129.47,110,0,StrongDown
2022-06-17,13.68,8508.87,48,13.41,9165.51,48,110,Stable
2022-06-21,14.81,9212.94,0,0.0,9212.94,0,48,StrongUp
2022-06-22,14.31,7720.98,104,14.31,9209.22,104,0,StrongUp
2022-06-23,14.02,5330.35,282,13.77,9283.99,282,104,Stable
2022-06-24,15.85,9435.85,0,0.0,9435.85,0,282,StrongUp
2022-06-27,15.78,8647.04,50,15.74,9436.04,50,0,Stable
2022-06-28,14.57,7972.89,102,14.57,9459.03,102,50,StrongDown
2022-06-29,13.51,6483.08,212,14.02,9347.2,110,0,StrongDown
2022-06-30,13.02,7350.03,154,13.21,9354.34,154,212,Stable
2022-07-01,11.56,5866.65,282,12.46,9126.57,128,0,StrongDown
2022-07-05,11.85,7645.12,126,11.85,9138.22,126,282,StrongUp
2022-07-06,12.08,8767.29,32,11.8,9153.85,32,126,Stable
2022-07-07,13.72,9187.36,0,0.0,9187.36,0,32,StrongUp
2022-07-08,13.9,7709.75,106,13.9,9183.68,106,0,StrongUp
2022-07-11,12.89,3934.01,394,13.3,9012.67,288,0,Stable
2022-07-12,12.99,8837.6,25,12.8,9162.35,25,394,Stable
2022-07-13,13.32,9161.28,0,0.0,9161.28,0,25,Stable
2022-07-14,14.09,7664.54,106,14.08,9157.55,106,0,StrongDown
2022-07-15,15.12,9205.1,0,0.0,9205.1,0,106,Stable
2022-07-18,14.91,9205.1,0,0.0,9205.1,0,0,Stable
