Ticker,Datetime_EST,Open,High,Low,Close,Volume
SOXL,2023-01-03 09:30:00-05:00,10.16,10.2,10.075,10.075,181444
SOXL,2023-01-03 09:31:00-05:00,10.055,10.07,10.0,10.05,40344
SOXL,2023-01-03 09:32:00-05:00,10.055,10.07,10.05,10.07,4305
SOXL,2023-01-03 09:33:00-05:00,10.07,10.095,10.07,10.09,8791
SOXL,2023-01-03 09:34:00-05:00,10.15,10.15,10.03,10.03,3470
SOXL,2023-01-03 09:35:00-05:00,10.03,10.03,10.03,10.03,1800
SOXL,2023-01-03 09:36:00-05:00,9.98,10.0,9.95,10.0,5285
SOXL,2023-01-03 09:37:00-05:00,9.98,10.05,9.98,10.05,2794
SOXL,2023-01-03 09:38:00-05:00,10.05,10.05,10.02,10.02,1265
SOXL,2023-01-03 09:39:00-05:00,10.08,10.09,10.08,10.09,2210
SOXL,2023-01-03 09:40:00-05:00,10.1,10.1,10.1,10.1,220
SOXL,2023-01-03 09:42:00-05:00,10.125,10.125,10.1,10.1,394
SOXL,2023-01-03 09:43:00-05:00,10.1,10.1,10.08,10.08,309
SOXL,2023-01-03 09:44:00-05:00,10.07,10.075,9.955,9.955,4701
SOXL,2023-01-03 09:45:00-05:00,9.975,9.985,9.88,9.91,15511
SOXL,2023-01-03 09:46:00-05:00,9.9,9.95,9.89,9.94,1183
SOXL,2023-01-03 09:47:00-05:00,9.965,9.97,9.85,9.85,9924
SOXL,2023-01-03 09:48:00-05:00,9.87,9.87,9.74,9.74,5976
SOXL,2023-01-03 09:49:00-05:00,9.73,9.74,9.73,9.74,2020
SOXL,2023-01-03 09:50:00-05:00,9.77,9.81,9.77,9.81,460
SOXL,2023-01-03 09:51:00-05:00,9.815,9.815,9.78,9.78,11890
SOXL,2023-01-03 09:52:00-05:00,9.77,9.77,9.62,9.62,20798
SOXL,2023-01-03 09:53:00-05:00,9.635,9.67,9.635,9.67,952
SOXL,2023-01-03 09:54:00-05:00,9.66,9.69,9.655,9.69,9128
SOXL,2023-01-03 09:55:00-05:00,9.685,9.685,9.655,9.67,32300
SOXL,2023-01-03 09:56:00-05:00,9.675,9.675,9.615,9.62,13614
SOXL,2023-01-03 09:57:00-05:00,9.62,9.62,9.58,9.59,2370
SOXL,2023-01-03 09:58:00-05:00,9.545,9.545,9.53,9.53,1561
SOXL,2023-01-03 09:59:00-05:00,9.57,9.57,9.535,9.535,25508
SOXL,2023-01-03 10:00:00-05:00,9.55,9.6,9.55,9.585,14337
SOXL,2023-01-03 10:01:00-05:00,9.59,9.61,9.59,9.605,879
