종가날짜,종가,현재 평단가,다음 매매 종류,가격,수량,현재 보유개수,어제 매수개수(양/음),현사이클 시작 $,잔금 $,플래그
2024-04-08,44.0,44.03,BUY 1,43.78,17,34,(+34 -0),10000.0,8499.41,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-08,44.0,44.03,BUY 2,42.9,17,34,(+34 -0),10000.0,8499.41,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-08,44.0,44.03,SELL 1,44.26,34,34,(+34 -0),10000.0,8499.41,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
-------------------,,,🏁 제 1 사이클 종료,수익금: $27.17,수익률: 0.27%,,,,,
2024-04-09,45.4,,BUY 1,49.94,15,0,(+0 -34),10027.17,10027.17,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-09,45.4,,BUY 2,49.94,15,0,(+0 -34),10027.17,10027.17,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-10,42.98,43.02,BUY 1,42.77,17,34,(+34 -0),10027.17,8560.99,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-10,42.98,43.02,BUY 2,41.91,17,34,(+34 -0),10027.17,8560.99,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-10,42.98,43.02,SELL 1,43.24,34,34,(+34 -0),10027.17,8560.99,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
-------------------,,,🏁 제 2 사이클 종료,수익금: $87.69,수익률: 0.87%,,,,,
2024-04-11,45.8,,BUY 1,50.38,15,0,(+0 -34),10114.87,10114.87,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-11,45.8,,BUY 2,50.38,15,0,(+0 -34),10114.87,10114.87,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-12,41.36,41.45,BUY 1,41.15,18,36,(+36 -0),10114.87,8618.98,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-12,41.36,41.45,BUY 2,40.32,18,36,(+36 -0),10114.87,8618.98,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-12,41.36,41.45,SELL 1,41.6,36,36,(+36 -0),10114.87,8618.98,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-15,39.77,40.55,BUY 1,39.57,19,72,(+36 -0),10114.87,7187.68,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-15,39.77,40.55,BUY 2,38.78,19,72,(+36 -0),10114.87,7187.68,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-15,39.77,40.55,SELL 1,40.01,36,72,(+36 -0),10114.87,7187.68,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-15,39.77,40.55,SELL 2,40.76,36,72,(+36 -0),10114.87,7187.68,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-16,40.56,41.45,BUY 1,40.36,18,36,(+0 -36),10114.87,8651.84,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-16,40.56,41.45,BUY 2,39.55,19,36,(+0 -36),10114.87,8651.84,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-16,40.56,41.45,SELL 1,40.8,36,36,(+0 -36),10114.87,8651.84,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-17,36.84,39.15,BUY 1,36.66,20,76,(+40 -0),10114.87,7165.04,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-17,36.84,39.15,BUY 2,35.92,21,76,(+40 -0),10114.87,7165.04,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-17,36.84,39.15,SELL 1,37.07,40,76,(+40 -0),10114.87,7165.04,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-17,36.84,39.15,SELL 2,39.34,36,76,(+40 -0),10114.87,7165.04,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-18,34.85,37.66,BUY 1,34.68,21,118,(+42 -0),10114.87,5692.25,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-18,34.85,37.66,BUY 2,33.98,22,118,(+42 -0),10114.87,5692.25,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-18,34.85,37.66,SELL 1,35.06,42,118,(+42 -0),10114.87,5692.25,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-18,34.85,37.66,SELL 2,37.85,40,118,(+42 -0),10114.87,5692.25,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-18,34.85,37.66,SELL 3,37.85,36,118,(+42 -0),10114.87,5692.25,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-19,30.71,35.64,BUY 1,30.56,24,166,(+48 -0),10114.87,4216.47,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-19,30.71,35.64,BUY 2,29.94,25,166,(+48 -0),10114.87,4216.47,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-19,30.71,35.64,SELL 1,30.89,48,166,(+48 -0),10114.87,4216.47,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-19,30.71,35.64,SELL 2,35.82,42,166,(+48 -0),10114.87,4216.47,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-19,30.71,35.64,SELL 3,35.82,40,166,(+48 -0),10114.87,4216.47,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-22,32.21,37.66,BUY 1,32.05,23,118,(+0 -48),10114.87,5752.53,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-22,32.21,37.66,BUY 2,31.4,24,118,(+0 -48),10114.87,5752.53,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-22,32.21,37.66,SELL 1,32.4,42,118,(+0 -48),10114.87,5752.53,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-22,32.21,37.66,SELL 2,37.85,40,118,(+0 -48),10114.87,5752.53,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-22,32.21,37.66,SELL 3,37.85,36,118,(+0 -48),10114.87,5752.53,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-23,34.18,39.15,BUY 1,34.01,22,76,(+0 -42),10114.87,7184.04,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-23,34.18,39.15,BUY 2,33.33,22,76,(+0 -42),10114.87,7184.04,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-23,34.18,39.15,SELL 1,34.39,40,76,(+0 -42),10114.87,7184.04,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-23,34.18,39.15,SELL 2,39.34,36,76,(+0 -42),10114.87,7184.04,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-24,35.52,41.45,BUY 1,35.34,21,36,(+0 -40),10114.87,8600.63,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-24,35.52,41.45,BUY 2,34.63,21,36,(+0 -40),10114.87,8600.63,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-24,35.52,41.45,SELL 1,35.73,36,36,(+0 -40),10114.87,8600.63,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
-------------------,,,🏁 제 3 사이클 종료,수익금: $-167.35,수익률: -1.65%,,,,,
2024-04-25,37.46,,BUY 1,41.2,18,0,(+0 -36),9947.52,9947.52,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-25,37.46,,BUY 2,41.2,18,0,(+0 -36),9947.52,9947.52,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-26,39.76,39.78,BUY 1,39.56,18,34,(+34 -0),9947.52,8591.64,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-26,39.76,39.78,BUY 2,38.77,19,34,(+34 -0),9947.52,8591.64,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-26,39.76,39.78,SELL 1,40.0,34,34,(+34 -0),9947.52,8591.64,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
-------------------,,,🏁 제 4 사이클 종료,수익금: $16.79,수익률: 0.17%,,,,,
2024-04-29,40.66,,BUY 1,44.73,16,0,(+0 -34),9964.31,9964.31,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-29,40.66,,BUY 2,44.73,16,0,(+0 -34),9964.31,9964.31,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-30,38.21,38.72,BUY 1,38.02,19,36,(+36 -0),9964.31,8566.88,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-30,38.21,38.72,BUY 2,37.25,20,36,(+36 -0),9964.31,8566.88,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-04-30,38.21,38.72,SELL 1,38.44,36,36,(+36 -0),9964.31,8566.88,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-01,34.28,36.73,BUY 1,34.1,21,78,(+42 -0),9964.31,7092.09,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-01,34.28,36.73,BUY 2,33.42,22,78,(+42 -0),9964.31,7092.09,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-01,34.28,36.73,SELL 1,34.48,42,78,(+42 -0),9964.31,7092.09,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-01,34.28,36.73,SELL 2,36.92,36,78,(+42 -0),9964.31,7092.09,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-02,36.53,38.72,BUY 1,36.35,20,36,(+0 -42),9964.31,8617.13,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-02,36.53,38.72,BUY 2,35.62,20,36,(+0 -42),9964.31,8617.13,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-02,36.53,38.72,SELL 1,36.75,36,36,(+0 -42),9964.31,8617.13,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
-------------------,,,🏁 제 5 사이클 종료,수익금: $50.42,수익률: 0.51%,,,,,
2024-05-03,38.95,,BUY 1,42.85,17,0,(+0 -36),10014.73,10014.73,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-03,38.95,,BUY 2,42.85,17,0,(+0 -36),10014.73,10014.73,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-06,41.36,41.12,BUY 1,41.16,18,34,(+34 -0),10014.73,8613.1,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-06,41.36,41.12,BUY 2,40.33,18,34,(+34 -0),10014.73,8613.1,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-06,41.36,41.12,SELL 1,41.61,34,34,(+34 -0),10014.73,8613.1,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-07,40.37,40.91,BUY 1,40.17,18,51,(+17 -0),10014.73,7922.94,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-07,40.37,40.91,BUY 2,39.36,19,51,(+17 -0),10014.73,7922.94,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-07,40.37,40.91,SELL 1,40.61,17,51,(+17 -0),10014.73,7922.94,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-07,40.37,40.91,SELL 2,41.12,34,51,(+17 -0),10014.73,7922.94,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-08,40.4,40.9,BUY 1,40.2,18,52,(+1 -0),10014.73,7882.68,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-08,40.4,40.9,BUY 2,39.39,19,52,(+1 -0),10014.73,7882.68,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-08,40.4,40.9,SELL 1,40.64,1,52,(+1 -0),10014.73,7882.68,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-08,40.4,40.9,SELL 2,41.1,17,52,(+1 -0),10014.73,7882.68,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-08,40.4,40.9,SELL 3,41.1,34,52,(+1 -0),10014.73,7882.68,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-09,39.93,40.68,BUY 1,39.73,18,67,(+15 -0),10014.73,7282.1,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
2024-05-09,39.93,40.68,BUY 2,38.93,19,67,(+15 -0),10014.73,7282.1,횡보장 (VWAP 양방향 슬라이싱 ⚖️)
